TIC ID,TFOPWG Disposition,Sectors
352409708,PC,"17,57,84"
440001383,PC,"17,57,84"
127426341,PC,"17,57,84"
191373021,PC,"17,57,84"
61520064,PC,"17,85"
186530554,PC,"17,85"
305830609,PC,"17,57,58,84,85"
194736418,CP,"18,58,86"
56662591,PC,"9,35,62"
110795273,PC,"7,34,61,88"
110795273,PC,"7,34,61,88"
55871761,PC,"7,34,61,88"
148479278,PC,"6,7,33,34,61,87"
329373799,PC,"16,17,56,57"
306990399,PC,"12,13,39"
287934343,PC,"14,41,54"
200606159,PC,"16,56,57"
330665027,PC,"16,56"
406783172,PC,"16,17,24,57"
314193010,PC,"13,66"
441076258,PC,"1,28,68"
254296853,PC,"2,29,69"
344855300,PC,"17,24,57,58,77,78"
17925767,PC,"15,56,82,83"
229650439,CP,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,60,73,74,75,76,78,79,80,81,83,84,85"
229650439,CP,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,60,73,74,75,76,78,79,80,81,83,84,85"
280097543,PC,"1,2,13,27,28,29,39,66,67,68"
179582003,PC,"2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,32,33,34,35,36,37,38,39,61,62,63,64,65"
44647437,PC,"4,5,31"
155873992,PC,"14,20,40,41,47,60"
102713734,CP,"19,59"
143642240,PC,19
217933560,PC,"12,39"
127505658,PC,"19,43,44,45,59"
387527174,PC,"16,17,18,19,24,25,49,52,56,57,58,59,73,76,77,78,79,83,84,85"
300812741,CP,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,35,36,37,38,39,61,62,63,65,66,67,68,69"
300812741,CP,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,35,36,37,38,39,61,62,63,65,66,67,68"
362222177,PC,"14,17,18,19,20,21,23,24,25,26,40,41,47,48,50,51,52,53,54,57,58"
229172128,PC,"6,33,87"
258514800,CP,"15,16,17,18,19,22,24,25,26,49,52,56,57,58,59,60,73,76,77,78"
85031598,PC,"19,59,73,86"
14336130,CP,"20,47,60,73"
149833117,PC,"20,47,60,73"
2685481,PC,"19,43,44,45,59,71,73,86"
278726770,PC,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68"
459837008,CP,"19,20,25,26,40,52,53,59,60"
459837008,CP,"19,20,25,26,40,52,53,59,60"
54002556,PC,"3,30"
305048087,CP,"2,29,69"
4646810,CP,"4,31"
47316976,PC,"2,28,68"
312862941,PC,"17,18,58"
63698669,PC,"2,29,69"
280865159,PC,"1,3,4,5,6,7,8,10,11,12,13,27,28,30,31,32,33,34,35,36,37,38,61,62,63,64,65,66,67,68"
161299119,PC,"12,39"
369532319,PC,"16,56,83"
467484304,PC,"10,11,37,38"
233266582,PC,"14,16,54,55,56,74,75,76"
142385671,PC,"14,15,21,22,41,48,49,75,76"
237019002,PC,"15,17,24,41,55,56,57,75,76,77"
196201652,PC,"15,16,41,55,56,75,76,82,83"
20607624,PC,"14,26,40,41,53,54,74,80,81"
269130683,PC,"14,15,41,54,55,74,75,81,82"
160512852,PC,"15,55,56,82"
219852882,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54"
219852882,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54"
176314383,CP,"5,32"
467331291,CP,"17,18,19,24,25,26,52,58,59"
259233660,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,47,48,49,51,52,53,54,55"
372207328,CP,"16,17,18,24,58"
260767135,PC,"15,16,56,82"
334798754,PC,"15,16,17,19,20,22,23,24,25,26,40,47,49,50,51,52,53,54,55,56,57,58,59,60,73,74,76,77,78,79,80,81,82"
160103855,PC,"15,55,56,82"
160255140,PC,"15,55,56,82"
276909255,PC,"15,16,41,55,56,57,75,76,77,82"
99025225,PC,"14,41,55,81,82"
167631701,PC,"15,16,55,56,75"
233266797,PC,"14,16,54,55,56,74,75,76"
343774169,PC,"16,17,57,77"
420191136,PC,"16,56,57,76,77,83,84"
279331929,PC,"14,41,54,81"
287948915,PC,"14,41,54,55,81"
298189225,PC,"14,15,41,55,81,82"
271017537,PC,"17,18,57,58,77,78,84,85"
153951307,CP,"14,15,21,22,41,49,74,76"
153951307,CP,"14,15,21,22,41,49,74,76"
138588540,PC,"14,15,21,41,48,75"
153976959,PC,"14,15,41,48,49,75,76"
286916251,CP,"15,16,22,23,49,76"
198153540,CP,"16,22,23,49,50,76,77"
198153540,CP,"16,22,23,49,50,76,77"
165763244,PC,"16,22,49,50,51,76,77,78"
405559035,PC,"16,22,23,24,49,50,51,77,78"
417931300,CP,"14,15,21,22,41,48,75"
233182695,PC,"14,15,16,21,22,41,47,48,49,74,76"
224298134,PC,"15,22,41,48,75"
224298134,PC,"15,22,41,48,75"
393965778,PC,"16,23,49,50,76,77"
284679064,PC,"15,22,48,49,75,76"
313006381,PC,"14,20,26,40,47,53,60,74"
202425357,PC,"15,16,22,23,48,49,50,75,76"
137843225,PC,"15,16,22,23,49,50,76,77"
467158766,PC,"20,47,74"
147923561,PC,"14,20,21,40,41,47,48,74,75"
53481079,PC,"21,48,75"
224297408,PC,"15,22,48,49,75,76"
310380289,PC,"16,49,50,76,77"
112037211,PC,"11,38"
297950791,PC,"12,39"
23434737,CP,"9,10,36,63"
256778317,PC,"16,56,83"
406548952,PC,"14,41,55,81,82"
148782377,PC,"16,23,50,77"
274215536,PC,"20,60,73"
230088370,PC,"14,15,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,54,55,56,57,58,59,60,73,74,75,76,77,78,79,80"
237222864,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,77,78,79,80,81,83,84,85,86"
230017324,PC,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,52"
269701147,CP,"15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73,75,76,77,78,79,82,83,85,86"
269701147,CP,"15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73,75,76,77,78,79,82,83,85,86"
269701147,CP,"15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73,75,76,77,78,79,82"
364186197,CP,"16,17,18,19,24,25,52,57,58,59,73,76,77,78,79,84,85,86"
232982558,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,76,77,78,79,80,81,82,83,13112,50,86"
237232044,CP,"14,16,17,18,19,20,23,24,25,26,40,47,49,50,52,53,54,57,58,59,60,73,74,76,77,78,79,80,84,85,86"
264678534,CP,"18,19,20,25,26,40,52,53,58,59,60,73,78,79,85,86"
317597583,CP,"17,18,19,24,25,52,58,59,78,79,85,86"
266500992,PC,"19,59,86"
353782445,PC,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,51,52,53,54,55,56,57,58,59,73,74,75,77,78,79,80,81,82,83,84,85,86"
428679607,CP,"19,20,25,26,52,53,59,60,73,79,86"
321041369,PC,"19,59,73"
230377505,PC,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,56,57,58,59,60,73,74,76,78,79,80,81,83,84,85,86"
230377505,PC,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,56,57,58,59,60,73,74,76,78,79,80,81,83,84,85,86"
408618999,CP,"18,19,25,52,58,59,79,86"
229455001,CP,"14,15,16,17,18,19,20,21,23,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,59,60,73,74,75,76,77,80,81,82,83,84,85,86"
233071822,PC,"14,15,16,17,18,19,20,21,22,23,24,25,40,41,47,48,49,50,51,52,54,55,56,58,59,60,75,76,77,78,79,81,82,83,85,86"
287080092,CP,"15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,74,75,76,77,78,79,81,82,83,84,85"
428988981,PC,"18,19,24,25,26,52,58,59,73,78,79,85"
274641986,PC,"14,15,41,54,55"
400093502,PC,"19,20,26,53,59,60,73"
418301643,PC,"17,18,19,24,25,52,57,58,59,77,78,79,84,85"
428812049,PC,"19,20,25,26,52,53,59,60,73,79,86"
52368076,PC,"1,2,28,68,69"
405454160,PC,"8,35"
407126408,PC,"12,13,65,66"
254113311,CP,"13,27,67"
254113311,CP,"13,27,67"
365938305,PC,"14,20,21,40,41,47,48,60,74"
249945230,PC,"18,58"
251384275,PC,"18,58"
219860288,CP,"15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49"
198385543,CP,"17,20,23,24,25,26,40,47,50,51,52,53,54,58"
384159646,PC,"12,13,39"
242120884,PC,"11,38,64"
58463434,PC,10
153078576,CP,"3,4,30,31"
394346745,PC,"1,12,13,27,28,39"
186936449,PC,"8,35,62"
423393242,PC,"9,36"
94011343,PC,"10,37"
456962262,PC,"11,64,65"
83395136,PC,"11,38"
456560485,PC,13
198725468,PC,"14,40,53,54"
120101789,PC,"14,40,41,53,54"
239585909,PC,"15,55,56"
154105890,PC,"14,15,20,21,22,40,41,47,48,49"
420114036,PC,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52"
359388309,PC,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,50,51,52,53,54,55,56"
280726137,PC,"1,13,27,66,67"
278196907,PC,"4,7,11,12,13,27,34,37"
303586471,PC,"2,29,69"
193336820,CP,"14,15,41,55,56,75,76,82"
463011281,PC,"9,10,36,37"
412485680,PC,"11,37,38"
301900477,PC,"12,39"
384386062,PC,"12,13,39"
221656234,PC,"12,39"
378708888,PC,"14,15,41"
436007113,PC,"14,15,41"
7681574,PC,"14,25,26,40,41"
389040826,PC,"8,35,45,46"
9989136,PC,"20,47,60"
198162530,PC,"14,15,16,17,18,19,21,22,23,24,25,47,48,49,50,51,52,54,55"
276704866,PC,"14,15,16,41,55"
139314045,PC,"9,10,36,37,63"
3728481,PC,"12,39,65"
377771417,PC,"10,11,36,37,63,64"
398945279,PC,"10,37,64"
392027961,PC,"11,37,38,64,65"
412666676,PC,"12,39,66"
343717397,PC,"12,13,39,66"
79660831,PC,"13,27,67"
253788533,PC,"13,67"
443607377,PC,"9,36,45,46,72"
21035365,PC,"19,59,73"
125366299,PC,"15,55,56,75"
286923515,PC,"15,16,22,49,76"
405689470,PC,"14,15,26,40,53,54,55,74,75,80,81,82"
270494650,PC,"14,15,16,20,21,22,23,26,40,41,47,48,49,53,56,60,74,75,76,80,83"
240535286,PC,"15,16,56,76,83"
224603921,PC,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,76,77,79,80,81,82,83,84,13368,56"
417829948,PC,"20,47,74"
198390247,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,56,57,59,60,73,74,75,76,77,78,79,80,81,82,83"
219857012,CP,"15,16,17,18,19,20,21,22,23,24,25,26,40,47,48,49,50,51,52,53,54,55,56,58,59,60,73,74,75,76,77,78,79,80,81,82,83,85,86"
207468071,CP,"16,23,24,25,49,50,51,52,56,76,77,78,79"
154872375,CP,"14,19,20,21,26,40,47,53,59,74,79,86"
156724719,PC,"19,59,73,86"
102672709,PC,"19,59,73"
159418353,CP,"14,19,20,21,25,26,40,41,47,48,52,53,59,73,74,75,79,86"
10792081,PC,"18,24,25,52,58,78,79,85,86"
144006874,PC,"19,59,73,86"
122629761,PC,"19,59,73,86"
54962195,CP,"9,35,62"
174599051,PC,"7,8,34,61"
39699648,CP,"21,47"
445456888,PC,"7,8,9,33,34,35,36,61,62"
269400980,PC,"7,9,34,35,61"
131730580,PC,"9,10,36,62,63"
307210830,CP,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69,87"
307210830,CP,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69"
156987351,PC,"6,7,8,33,34,61,87"
151825527,CP,"9,10,36,63"
271971130,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,29,30,31,32,33,34,35,36,37,39,61,62,63,64,65,66,67,68,69"
374829238,PC,"2,3,6,7,9,10,12,13,27,29,30,33,34,36,37,39,61,62,63,64,65"
350584963,PC,"1,2,3,4,5,6,7,8,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68"
41227743,PC,"1,2,4,5,6,7,8,10,11,13,27,28,30,31,32,33,34,35,36,37,38,62,63,64,66,67,68,69"
232025086,PC,"5,6,7,32,33,34,61"
361413119,PC,"9,10,36,37"
360286627,PC,"9,10,36,37,62"
406976746,PC,"12,13,39,65"
467666275,PC,"10,11,37,64"
359357695,PC,"11,12,38,39"
382980571,PC,"11,37,38,64,65"
242083025,PC,"11,37,64"
162695785,PC,"11,37,38,64"
47617161,PC,"11,38,65"
371188886,CP,"9,10,11,36,37,38,63,64,65"
118084044,PC,"8,9,10,35,36,37,61,62,63"
147660886,PC,"10,63"
88902249,CP,"11,38,65"
401125028,CP,"8,9,35,36,62,63"
126572546,PC,"8,9,35,36"
238542895,PC,"7,8,9,34,35,36"
283307274,PC,"8,34,35"
334482103,PC,"7,34,44,45,46"
119925436,PC,"10,36,37,63,64"
372818426,PC,"2,3,4,5,9,12,29,30,31,32,39"
372852036,PC,"1,2,3,4,5,6,7,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38"
33840683,PC,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65"
459850897,PC,"10,37,63,64"
334632624,PC,"8,35,62"
238164799,PC,"6,7,8,33,35,61,62"
413343957,PC,"12,38,39,65"
315350812,PC,"11,38,65"
394918211,CP,"11,12,13,38,39,65,66"
400972123,PC,"10,11,37,38,64,65"
107018378,PC,"10,37,63"
258917846,PC,"11,37,38,64"
271169413,CP,"11,38,64"
46698351,PC,"12,38,39,65"
181422954,PC,"8,35"
394223845,PC,"8,34,35"
446135868,PC,"9,36,62,63"
441234277,PC,"9,10,36,37"
399847887,PC,"10,11,37,38"
454828937,PC,"11,12,37,38"
412635642,PC,"11,37,38,64,65"
400073524,PC,"10,11,37,38"
420202798,PC,"11,37,38,64,65"
453942180,PC,"10,11,37,38,63,64,65"
304085024,PC,"9,10,11,36,37,38,63,64,65"
182405015,PC,"8,61,62"
198390247,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,56,57,59,60,73,74,75,76,77,78,79,80,81,82,83,84,85,86"
89020549,CP,"1,28,68"
118327550,CP,"2,29,69"
102030574,PC,"2,29"
224271611,PC,"2,29,69"
131743355,PC,"7,8,34,35,61,62"
198008005,CP,"3,4,29,30,31,69"
122695048,PC,"19,59,73"
356747847,PC,"11,12,38,64,65"
176956893,CP,"1,2,4,5,6,7,8,9,10,11,12,27,28,29,31,32,34,35,36,37,38,39,61,62,64,65,66,67,68,69,87"
420051632,PC,"4,31,70"
308396509,PC,"1,2,4,5,7,8,9,10,11,12,27,28,31,32,34,35,36,37,38,61,62,63,64,65,68,69"
97165413,PC,"6,7,33,34,61"
189300053,PC,"8,35,62"
147193084,PC,"9,10,36,63"
144321743,PC,"10,37,64"
366119858,CP,"14,18,25,26,40,41,48,52,53,54,55,58,74,75"
75744886,PC,"8,9,35,36"
437259571,PC,9
426904354,PC,"12,39,65"
344568128,PC,"10,11,37,38"
154940895,PC,"19,20,25,26,40,47,52,53"
302054555,PC,"12,13,39"
258409964,PC,"12,38,39,65"
361467239,PC,"12,39,66"
393340920,PC,"8,9,35,36,61,62"
35106764,PC,"11,12,38"
246965431,CP,"18,42,43,58"
461591646,CP,"18,19,20,25,26,52,59"
124174267,PC,"10,37"
217838717,PC,"12,39"
289590465,PC,"14,15,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,57,58,60"
122418622,PC,"8,10,35,36"
221566773,PC,"12,39,66"
277447970,PC,"15,16,56,57,76,77,83,84"
455791689,PC,"16,17,57,83,84"
274075364,PC,"14,15,41,55"
157213708,PC,"10,36"
448775221,PC,"11,12,38,39"
421056636,PC,"12,39,66"
198356533,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,76,77,78,79,80,81,82,83,13112,50"
352413427,CP,"17,57,84"
15692883,CP,"17,57,84"
202375913,PC,"17,57,84"
233009109,PC,"15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,76,77,78,80,82,83,84,85,86"
310497279,PC,"9,10,36,63"
439943973,PC,"17,57,84"
174328045,CP,"17,57,84"
254209017,PC,"13,27,67"
233194447,PC,"14,15,17,18,20,21,23,24,25,26,40,41,47,48,50,51,52,53,54,55,56,57,59,60,73,74,75,77,78"
177697418,PC,"17,57,84"
173706852,PC,"16,17,57,83,84"
173615288,PC,"16,17,57,84"
202648961,PC,"17,57,84"
291732201,PC,"17,57,84"
199296714,PC,"16,56,57,76,77,83,84"
259188347,PC,"16,57,83,84"
302477411,PC,"18,58,85"
279871772,PC,"17,18,57,58,77,78,84,85"
285592400,PC,"18,24,25,58,85"
422707559,PC,"17,18,24,25,57,58,77,78,84,85"
13036318,PC,"17,18,24,57,58,77,78,84,85"
436875993,PC,"18,42,43,44,58,85"
264193444,PC,"17,18,19,24,25,26,52,53,58,59,60,73,78,79,85"
347018922,PC,"17,24,57,58,77,78,84,85"
192321638,PC,"18,58,85"
450012972,PC,"17,18,24,57,58,85"
250478345,PC,"18,58,85"
335037151,PC,"16,17,18,24,57,77,78,84,85"
467602108,PC,"18,42,43,44,58,85"
196389062,PC,"17,57,84,85"
470898625,PC,"18,58,85"
245665919,PC,"18,58,85"
374122973,PC,"18,85"
104153474,PC,"18,58,85"
418262301,PC,"17,18,19,24,25,52,57,58,59,73,77,78,79,84,85"
327249454,PC,"17,18,24,57,58,77,78,84,85"
347944406,PC,"18,58,85"
130087198,PC,"18,58,85"
196351790,PC,"17,57,58,84,85"
48476908,PC,"9,35,36,62,63"
405700729,PC,"11,37,38,64"
359426909,PC,"11,12,38"
107017977,PC,"10,37"
61621800,PC,"13,27,67"
411955845,PC,"13,27,67"
274911536,PC,"9,10,36,37"
441763252,PC,"14,15,16,17,18,19,20,21,22,23,24,25,41,48,49,50,51,52,53,54,55,56"
17122808,PC,"21,48"
76899250,PC,"13,39,66"
459837008,PC,"19,20,25,26,40,52,53,59,60"
323295479,PC,"11,12,13,38,39,65,66,67"
275703182,PC,"18,19"
742648307,PC,"20,47,60"
154126149,PC,"14,15,21,22,41,47,48,49"
7583660,PC,"14,25,26,40,41"
329346586,PC,"14,25,40,41,52"
387544178,PC,"4,31,42,43,44"
21132157,PC,"18,42,43,44,58,70"
5724439,PC,"18,42,58"
335661164,PC,"14,15,19,20,21,26,40,41,47,48,53,60,73,74,75"
164767175,CP,"3,30"
150030205,CP,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68"
150030205,CP,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
153065527,CP,"3,4,30,31"
153065527,CP,"3,4,30,31"
260708537,CP,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
407966340,CP,"5,32,43,44,70,71"
407966340,CP,"5,32,43,44,70,71"
35009898,CP,"9,36,45,46,62,72"
54962195,CP,"9,35,62"
124573851,CP,"9,35,62"
359271092,CP,"9,10,36,37,62"
130924120,CP,"10,37,64"
178709444,CP,"10,36,37"
277634430,CP,"10,11,12,37,38"
429358906,CP,"10,36,63"
219344917,CP,"4,5,6,31,32"
305424003,CP,"12,39"
332534326,CP,"5,31"
443556801,CP,"6,33"
192259856,PC,"8,9,35"
287145649,CP,"9,36"
452006073,CP,"10,37"
305739565,CP,"11,37"
358070912,CP,"2,6,13,27,28,29,63,66,67,68,69"
306648160,CP,"12,13"
391903064,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68"
308073360,CP,"21,45,46,48"
165464482,CP,"15,16,22,49"
23769326,CP,"16,23,49,50"
470171739,CP,"18,19,24,25,26,53,58,59,60,79"
404518509,CP,"3,4,30,31"
239332587,CP,"15,41,55,56,75,76,82"
307958020,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,55,56,58,59"
436873727,CP,"18,42,43,44,58,70,71"
361711730,CP,"12,39"
69356857,CP,"14,40,41"
58825110,CP,"17,42,43"
407591297,CP,"21,48"
71582156,CP,"20,26,47,53,60"
4918918,CP,"21,48"
40292751,CP,"14,40,41,54,74"
102734241,CP,"14,41,54,55"
286201103,CP,"15,16,41,55,56"
327369524,CP,"17,18,24,57"
419523962,CP,"17,18,24,58"
261135533,CP,"16,56"
97921547,CP,"7,33,34,61"
75650448,CP,"11,38,65"
154089169,CP,"14,15,21,22,41,48,49,74,75"
158002130,CP,"14,19,20,21,26,40,41,47,48,53,59,60,73,74,75,79"
233087860,CP,"14,15,16,17,18,19,20,21,22,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,75,76,77,78,79,80,81,82"
147950620,CP,"14,20,21,40,41,47,48,74,75"
299798795,CP,"1,13,27,28,39,66,67,68"
299798795,CP,"1,13,27,28,39,66,67,68"
219850915,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,59"
232540264,CP,"14,15,16,20,21,22,26,40,41,47,49,53,56,60,74"
232612416,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,55,56,58,59"
232976128,CP,"14,15,21,22,41,48,49,75"
198241702,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60"
224297258,CP,"15,21,22,41,48,49"
219852584,CP,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55"
356867115,CP,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,60"
229747848,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60"
229747848,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60"
199444169,CP,"16,56"
321857016,CP,"16,24,56"
343628284,CP,"15,16,57"
377293776,CP,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55"
240968774,CP,"17,18,58"
306955329,CP,"17,57,58"
288631580,CP,"14,18,19,20,24,25,26,40,41,47,52,53,58,59,60"
58542531,CP,"19,43,44,70,71"
268334473,CP,"19,20,25,26,40,47,52,53,59,60,73,79"
71431780,CP,"20,26,47,73"
289580577,CP,"14,15,16,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,58,59,60"
367858035,CP,"18,19,24,25,52,58,59,78"
137906197,CP,"21,48,74"
85293053,CP,"21,48"
9348006,CP,"21,48"
29191624,CP,"21,48"
160045097,CP,"14,20,21,22,40,41,47,48,53,60"
160045097,CP,"14,20,21,22,40,41,47,48,53,60"
142381532,CP,"14,15,21,22,41,48,49,75"
142387023,CP,"15,21,22,41,48,49,75"
348755728,CP,"8,35,61"
445903569,CP,"9,10,36,62,63"
441765914,CP,"14,15,16,17,18,19,20,21,22,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60"
446549906,CP,"13,27"
389900760,CP,"18,24,25,52"
289164482,CP,"14,26,40,53,54"
394287035,CP,"1,13,27,28,39"
268532343,CP,"3,30"
399967279,CP,"5,42,43,44,70,71"
144077896,PC,"10,37,64"
376867898,PC,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,52,53,54,55,56,57,58,59,60,73,74,75,76,77,79,80,81"
123234747,PC,"14,26,40,41,53,54,74,80"
377253700,PC,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,56,57,58,59,60,73,74,76,78,79,80,81"
336264393,PC,"14,26,40,41,53,54,74,80,81"
157808355,PC,"14,53,54,74,80,81"
288953761,PC,"14,40,53,54,74,80,81"
267817947,PC,"14,15,16,20,23,40,41,47,50,54,55,56,57,60,73,74,75,76,77,81,82"
267808774,PC,"14,15,16,20,23,40,41,47,50,53,54,55,56,57,60,73,74,75,76,77,81,82"
